step,n_atoms_def,n_vacancies,n_interstitials,elapsed_s
418000,1314036,5,5,4.84
419000,1314036,5,5,4.65
420000,1314036,5,5,4.64
421000,1314036,5,5,4.79
422000,1314036,5,5,4.79
423000,1314036,5,5,4.81
424000,1314036,5,5,4.64
425000,1314036,5,5,4.89
426000,1314036,5,5,4.89
427000,1314036,5,5,4.63
428000,1314036,5,5,5.01
429000,1314036,5,5,4.93
430000,1314036,5,5,4.91
431000,1314036,5,5,4.64
432000,1314036,5,5,5.0
433000,1314036,5,5,4.68
434000,1314036,5,5,4.69
435000,1314036,5,5,5.02
436000,1314036,5,5,4.83
437000,1314036,5,5,4.61
438000,1314036,5,5,4.7
439000,1314036,5,5,4.89
440000,1314036,5,5,4.75
441000,1314036,5,5,4.66
442000,1314036,5,5,4.8
443000,1314036,5,5,4.83
444000,1314036,5,5,4.66
445000,1314036,5,5,4.86
446000,1314036,5,5,4.81
447000,1314036,5,5,4.79
448000,1314036,5,5,4.82
449000,1314036,5,5,4.83
450000,1314036,5,5,4.93
451000,1314036,5,5,4.96
452000,1314036,5,5,4.68
453000,1314036,5,5,4.69
454000,1314036,5,5,4.68
455000,1314036,5,5,4.88
456000,1314036,5,5,4.67
457000,1314036,5,5,4.59
458000,1314036,5,5,4.92
459000,1314036,5,5,4.6
460000,1314036,5,5,4.9
461000,1314036,5,5,4.93
462000,1314036,5,5,4.95
463000,1314036,5,5,4.99
464000,1314036,5,5,4.72
465000,1314036,5,5,4.7
466000,1314036,5,5,5.06
467000,1314036,5,5,4.97
468000,1314036,5,5,4.7
469000,1314036,5,5,5.07
470000,1314036,5,5,4.63
471000,1314036,5,5,5.13
472000,1314036,5,5,4.92
473000,1314036,5,5,4.77
474000,1314036,5,5,4.8
475000,1314036,5,5,4.76
476000,1314036,5,5,4.71
477000,1314036,5,5,4.82
478000,1314036,5,5,4.78
479000,1314036,5,5,4.85
480000,1314036,5,5,4.93
481000,1314036,5,5,4.93
482000,1314036,5,5,4.92
483000,1314036,5,5,4.94
484000,1314036,5,5,4.88
485000,1314036,5,5,4.94
486000,1314036,5,5,4.88
487000,1314036,5,5,5.02
488000,1314036,5,5,4.84
489000,1314036,5,5,4.7
490000,1314036,5,5,4.95
491000,1314036,5,5,4.98
492000,1314036,5,5,4.96
493000,1314036,5,5,4.83
494000,1314036,5,5,4.89
495000,1314036,5,5,4.94
496000,1314036,5,5,4.73
497000,1314036,5,5,4.69
498000,1314036,5,5,4.97
499000,1314036,5,5,4.69
500000,1314036,5,5,4.81
501000,1314036,5,5,4.83
502000,1314036,5,5,5.12
503000,1314036,5,5,4.65
504000,1314036,5,5,4.69
505000,1314036,5,5,4.8
506000,1314036,5,5,4.83
507000,1314036,5,5,4.72
508000,1314036,5,5,4.72
509000,1314036,5,5,4.76
510000,1314036,5,5,4.79
511000,1314036,5,5,4.9
512000,1314036,5,5,4.83
513000,1314036,5,5,4.76
514000,1314036,5,5,4.62
515000,1314036,5,5,4.68
516000,1314036,5,5,4.86
517000,1314036,5,5,4.59
518000,1314036,5,5,4.88
519000,1314036,5,5,4.56
520000,1314036,5,5,4.61
521000,1314036,5,5,4.7
522000,1314036,5,5,4.59
523000,1314036,5,5,4.82
524000,1314036,5,5,4.81
525000,1314036,5,5,4.74
526000,1314036,5,5,4.81
527000,1314036,5,5,4.87
528000,1314036,5,5,4.68
529000,1314036,5,5,4.7
530000,1314036,5,5,4.59
531000,1314036,5,5,4.83
532000,1314036,5,5,4.62
533000,1314036,5,5,4.87
534000,1314036,5,5,4.88
535000,1314036,5,5,4.74
536000,1314036,5,5,4.7
537000,1314036,5,5,4.8
538000,1314036,5,5,4.94
539000,1314036,5,5,4.77
540000,1314036,5,5,4.82
541000,1314036,5,5,4.88
542000,1314036,5,5,4.87
543000,1314036,5,5,4.76
544000,1314036,5,5,4.72
545000,1314036,5,5,4.96
546000,1314036,5,5,4.69
547000,1314036,5,5,4.73
548000,1314036,5,5,4.88
549000,1314036,5,5,4.93
550000,1314036,5,5,5.03
551000,1314036,5,5,4.74
552000,1314036,5,5,4.73
553000,1314036,5,5,4.89
554000,1314036,5,5,4.8
555000,1314036,5,5,4.87
