# ref_id x y z occupancy n_extra
380265 -14.33909644 -3.50797461 -28.61765415 2 1
380274 -5.33525147 -1.71401113 -28.46770138 3 2
380364 -71.45518219 5.36809739 -26.60478198 2 1
380380 -57.22365085 5.34006123 -26.90361253 2 1
380384 -53.57546785 5.37932464 -26.81785079 2 1
380426 -12.48812334 5.33625955 -28.41844810 2 1
380427 -12.49583400 3.60401103 -26.72225862 2 1
380434 -5.39565076 5.32078024 -28.43190099 2 1
380441 -71.35629739 7.13324054 -28.62462032 2 1
380442 -69.82312213 8.91695781 -28.52421424 2 1
380443 -69.64561252 7.15228023 -26.80238345 2 1
380446 -66.18008534 8.97246473 -28.54532856 2 1
380447 -66.16493373 7.13931037 -26.76429395 2 1
380448 -67.97430434 8.91272703 -26.76312560 2 1
380449 -64.37879678 7.20221985 -28.79034817 2 1
380451 -62.52175720 7.06245513 -26.81826650 2 1
380453 -60.76051707 7.19592042 -28.62600074 2 1
380455 -58.98716661 7.10531711 -26.85190987 2 1
380507 -12.50314761 7.18712979 -26.73693862 2 1
380512 -10.67877400 8.95297537 -26.71746998 2 1
380535 -58.97441475 10.67674151 -26.79425522 2 1
380593 -7.16873575 10.72772296 -28.62085349 2 1
380594 -5.37190409 12.57113767 -28.65129877 2 1
380770 -27.04302732 -5.34504438 -25.00876278 2 1
380794 -5.46799647 -5.31617374 -24.92586023 2 1
380824 -53.60851438 -1.77190342 -23.24416657 2 1
380870 -8.96969469 -1.65144350 -25.18113312 2 1
380878 -1.72327703 -1.89514786 -24.92972271 2 1
380899 -55.49816952 -0.03763624 -23.20193026 2 1
380904 -53.72274177 1.70165868 -23.19981617 2 1
380938 -19.62982573 1.88495350 -25.01050266 2 1
380970 -62.48288646 5.39176286 -24.95430068 2 1
380973 -60.69723793 3.73002809 -25.00773892 2 1
380974 -58.91833479 5.37399042 -25.09593625 2 1
380978 -55.47370212 5.34257475 -25.06534245 2 1
380979 -55.41359205 3.62064478 -23.28535211 2 1
380980 -57.29407906 5.45981565 -23.25071169 2 1
380981 -53.70094358 3.61532770 -25.04306725 2 1
381023 -16.01133942 3.55035679 -23.19609082 2 1
381033 -7.12415584 3.62805245 -24.96357809 2 1
381043 -69.59348222 7.23552362 -23.15865098 2 1
381045 -67.85696574 7.12904639 -24.99619407 2 1
381053 -60.77354515 7.21022692 -25.00240503 2 1
381096 -25.10399694 9.05351406 -23.21602247 2 1
381097 -21.42963758 7.26828236 -24.95827363 2 1
381100 -21.51833124 9.00589544 -23.25027966 2 1
381193 -7.13306458 10.72702394 -25.02429664 2 1
381237 -5.36177395 -12.34459226 -21.26731885 2 1
381314 -5.44513665 -8.83957293 -21.43551591 2 1
381340 -57.20273073 -5.22825814 -19.57574370 2 1
381344 -53.68709018 -5.20822009 -19.48339276 2 1
381387 -12.57675840 -7.07395717 -19.75502461 2 1
381418 -55.36498623 -1.75902685 -21.45301190 2 1
