# id type x y z dist_to_ref defect_prob defect_type
162 1 26.78160000 -11.14380000 -5.06923000 0.11493909 0.31735480 Lattice
163 1 28.12420000 3.24709000 -3.00565000 0.11773959 0.33008932 Lattice
164 1 25.74390000 -9.18644000 -6.14059000 0.11985496 0.33974911 Lattice
165 1 31.93230000 8.58483000 4.79490000 0.11784220 0.33055714 Lattice
166 1 27.52220000 -4.15853000 -2.60054000 0.11091394 0.29918299 Lattice
167 1 18.99670000 7.43965000 -26.21400000 0.12703963 0.37274205 Lattice
168 1 28.15750000 -1.00041000 -5.07986000 0.11383445 0.31235117 Lattice
169 1 19.03310000 -5.16816000 -22.46060000 0.11882778 0.33505453 Lattice
170 1 30.79850000 2.26775000 9.79048000 0.11884597 0.33513763 Lattice
171 1 25.97810000 3.12525000 -20.22950000 0.12040490 0.34226534 Lattice
172 1 17.71140000 -25.75470000 1.93404000 0.93290509 1.00000000 Unknown
173 1 16.95780000 23.19350000 -16.47590000 0.11618717 0.32302183 Lattice
174 1 6.41731000 -24.84790000 18.93880000 0.33537871 0.96124475 Unknown
175 1 24.53020000 21.56900000 13.08590000 0.11823777 0.33236135 Lattice
176 1 27.14820000 9.22190000 -12.15870000 0.11794379 0.33102039 Lattice
177 1 1.09346000 -26.38250000 -12.42670000 0.56705089 0.99990787 Unknown
178 1 6.61472000 -32.60540000 -3.27952000 0.77402713 0.99999997 Unknown
179 1 -3.44594000 -5.61541000 -35.33470000 0.08531282 0.18968519 Lattice
180 1 9.00824000 -20.85730000 17.92550000 0.16992593 0.56588405 Unknown
181 1 12.08930000 -20.84870000 -22.82930000 0.75174017 0.99999992 Unknown
182 1 21.40870000 -22.18650000 -0.47339300 0.09765290 0.24086847 Lattice
183 1 -7.99786000 31.37480000 -11.96940000 0.11669662 0.32533895 Lattice
184 1 26.24290000 -14.44510000 10.45100000 0.11213548 0.30467946 Lattice
185 1 27.00010000 -11.54870000 -2.22341000 0.11866559 0.33431396 Lattice
186 1 29.94160000 4.17457000 -14.58710000 0.11164570 0.30247362 Lattice
187 1 32.35240000 -8.97380000 12.27260000 0.12292628 0.35382435 Lattice
188 1 28.18680000 -5.25019000 -7.17798000 0.11611327 0.32268591 Lattice
189 1 27.75320000 -4.57339000 0.23111000 0.11079245 0.29863727 Lattice
190 1 29.78570000 12.86720000 -10.45580000 0.08629057 0.19360472 Lattice
191 1 28.57710000 -1.86260000 0.58091600 0.12002343 0.34051975 Lattice
192 1 22.52430000 0.07650640 21.55150000 0.11678212 0.32572804 Lattice
193 1 15.03850000 -6.31293000 -28.17190000 0.12188137 0.34902989 Lattice
194 1 29.80580000 12.51920000 2.64256000 0.11202521 0.30418262 Lattice
195 1 31.73420000 -7.69238000 3.83140000 0.12252156 0.35196670 Lattice
196 1 29.96750000 12.29290000 -7.56593000 0.12478219 0.36235230 Lattice
197 1 -0.68580700 13.63980000 -32.54060000 0.10759431 0.28433735 Lattice
198 1 30.43560000 -13.39220000 -7.06675000 0.10783931 0.28542813 Lattice
199 1 28.99530000 9.76177000 2.31318000 0.11765171 0.32968871 Lattice
200 1 26.32020000 -18.66810000 8.35466000 0.11173162 0.30286040 Lattice
201 1 30.02090000 -0.23401400 -3.66381000 0.12172679 0.34832110 Lattice
202 1 -1.59678000 -4.98875000 -33.84580000 0.11484665 0.31693564 Lattice
203 1 23.39200000 -1.43473000 19.82690000 0.12209921 0.35002900 Lattice
204 1 -1.52212000 5.90204000 29.90240000 0.11748997 0.32895160 Lattice
205 1 15.07470000 -22.27630000 -19.16580000 0.81810333 1.00000000 Unknown
206 1 22.15590000 -15.02410000 -11.09950000 0.11885558 0.33518153 Lattice
207 1 19.95100000 9.67287000 -23.06190000 0.12375007 0.35760790 Lattice
208 1 30.72440000 -5.59494000 -10.33350000 0.11802413 0.33138680 Lattice
209 1 23.70350000 -14.16400000 13.62120000 0.11722833 0.32775961 Lattice
210 1 14.23280000 -4.78575000 -26.38150000 0.10962272 0.29339204 Lattice
211 1 27.94010000 -12.86510000 -16.92880000 0.11714695 0.32738899 Lattice
212 1 14.83630000 0.96806000 30.90030000 0.11129639 0.30090206 Lattice
213 1 23.45510000 11.05150000 15.93540000 0.11022572 0.29609391 Lattice
214 1 27.12860000 -3.49766000 4.80038000 0.11930859 0.33725114 Lattice
215 1 31.31180000 1.06530000 18.30640000 0.08974752 0.20766233 Lattice
216 1 30.31180000 7.37955000 6.20647000 0.11212716 0.30464197 Lattice
217 1 16.59530000 -19.98260000 -11.17140000 0.80066367 0.99999999 Unknown
218 1 28.37200000 -5.67156000 -4.34190000 0.11006777 0.29538575 Lattice
219 1 -20.97760000 -24.74820000 -0.79647900 0.11536733 0.31929770 Lattice
220 1 8.45065000 9.54700000 -32.38920000 0.11487434 0.31706120 Lattice
221 1 13.02230000 21.97690000 -22.19240000 0.11485590 0.31697758 Lattice
222 1 25.31130000 8.46009000 -13.60180000 0.11224703 0.30518223 Lattice
223 1 16.33950000 -13.00830000 -26.41120000 0.08749326 0.19846073 Lattice
224 1 28.67670000 14.83750000 -11.53660000 0.08342389 0.18218699 Lattice
225 1 30.03530000 -12.55700000 -12.73960000 0.08430831 0.18568541 Lattice
226 1 27.69390000 3.28041000 20.29320000 0.11040974 0.29691935 Lattice
227 1 10.21050000 -19.36900000 26.72710000 0.10833456 0.28763550 Lattice
228 1 30.21940000 -0.65122900 -0.80816400 0.11508408 0.31801240 Lattice
229 1 29.61280000 -3.79514000 1.68036000 0.11350052 0.31084093 Lattice
230 1 27.96700000 -5.00368000 3.07267000 0.11943894 0.33784689 Lattice
231 1 19.00510000 14.80200000 19.72370000 0.11787732 0.33071726 Lattice
232 1 14.47970000 -9.48878000 -25.69910000 0.10784083 0.28543489 Lattice
233 1 13.77900000 -29.06770000 1.23759000 0.77806433 0.99999997 Unknown
234 1 27.51340000 -12.23670000 -9.58409000 0.11975383 0.33928659 Lattice
235 1 -8.90339000 27.88080000 16.51410000 0.11169595 0.30269979 Lattice
236 1 11.42350000 32.70060000 1.38284000 0.15387138 0.49551456 Unknown
237 1 29.47100000 0.25389000 16.84470000 0.12119320 0.34587543 Lattice
238 1 5.25422000 -30.86180000 -5.15101000 0.72377154 0.99999973 Unknown
239 1 30.20570000 -4.89662000 -2.88451000 0.11667724 0.32525079 Lattice
240 1 29.24890000 -7.40490000 6.98242000 0.11247996 0.30623251 Lattice
241 1 28.57470000 14.16870000 14.65810000 0.14033290 0.43397140 Lattice
242 1 20.70860000 12.44080000 -22.73130000 0.11298133 0.30849514 Lattice
243 1 23.17200000 15.71070000 15.22160000 0.11844859 0.33332338 Lattice
244 1 14.14690000 7.75129000 -30.14200000 0.10786705 0.28555165 Lattice
245 1 30.39330000 3.14605000 4.09644000 0.11493690 0.31734486 Lattice
246 1 14.89380000 -27.70220000 -0.05621370 0.69364525 0.99999909 Unknown
247 1 3.55134000 -31.26350000 -6.83758000 0.69816674 0.99999924 Unknown
248 1 23.22440000 -16.94650000 -9.97547000 0.12457360 0.36139312 Lattice
249 1 5.79240000 -32.91340000 12.11160000 0.69324974 0.99999907 Unknown
250 1 15.95980000 -5.11325000 29.90230000 0.11622669 0.32320152 Lattice
251 1 14.36780000 -25.74530000 -0.69775600 0.51046906 0.99946346 Unknown
252 1 31.96640000 -11.73940000 -11.33580000 0.14993277 0.47776476 Lattice
253 1 18.99870000 15.44700000 -19.25590000 0.11578344 0.32118715 Lattice
254 1 27.90660000 -13.24390000 9.07040000 0.11899298 0.33580907 Lattice
255 1 23.21690000 -21.56160000 14.07500000 0.32818186 0.95550961 Unknown
256 1 28.79990000 -6.52833000 1.33440000 0.11129117 0.30087859 Lattice
257 1 -11.37280000 23.97650000 17.55210000 0.11242891 0.30600224 Lattice
258 1 22.83470000 -12.66390000 15.33460000 0.11364917 0.31151308 Lattice
259 1 25.36000000 -12.97590000 12.21140000 0.11733134 0.32822885 Lattice
260 1 28.33400000 -1.64822000 10.82130000 0.11832926 0.33277880 Lattice
261 1 -3.86023000 7.12848000 -31.68340000 0.11970122 0.33904603 Lattice
