# id type pc1 pc2 pc3 dist_to_ref defect_type
172 1 0.22512294 -0.22162682 0.29771874 0.93290509 Unknown
173 1 -0.10612304 -0.04460067 0.01510437 0.11618717 Lattice
174 1 0.23235249 -0.14719093 -0.00497555 0.33537871 Unknown
175 1 -0.09081450 -0.06117317 0.02993605 0.11823777 Lattice
176 1 -0.10667063 -0.04790220 0.01149956 0.11794379 Lattice
177 1 0.41053606 -0.16619211 0.06570937 0.56705089 Unknown
178 1 0.58689630 -0.27999881 0.08007622 0.77402713 Unknown
179 1 -0.07905372 -0.01337247 0.01585474 0.08531282 Lattice
180 1 0.09435076 -0.07556584 -0.02961208 0.16992593 Unknown
181 1 0.38247804 -0.18163507 0.17609878 0.75174017 Unknown
182 1 -0.06969319 -0.03041328 0.02156370 0.09765290 Lattice
183 1 -0.10578035 -0.04611555 0.01627411 0.11669662 Lattice
184 1 -0.10171398 -0.04581743 0.01050436 0.11213548 Lattice
185 1 -0.10614751 -0.04727025 0.02035574 0.11866559 Lattice
186 1 -0.09234723 -0.05844817 0.00804379 0.11164570 Lattice
187 1 -0.07720956 -0.08489615 0.02663130 0.12292628 Lattice
188 1 -0.10605666 -0.04515617 0.01329213 0.11611327 Lattice
189 1 -0.10355883 -0.03769654 0.00893887 0.11079245 Lattice
190 1 -0.00738645 -0.01729210 -0.05670979 0.08629057 Lattice
191 1 -0.10808152 -0.04882425 0.01775308 0.12002343 Lattice
192 1 -0.10575419 -0.04714121 0.01452858 0.11678212 Lattice
193 1 -0.10297702 -0.05547401 0.02254067 0.12188137 Lattice
194 1 -0.09926479 -0.04555061 0.00935639 0.11202521 Lattice
195 1 -0.10607463 -0.05501215 0.02297405 0.12252156 Lattice
196 1 -0.09290806 -0.07391456 0.02777530 0.12478219 Lattice
197 1 -0.09690159 -0.03917777 0.01978459 0.10759431 Lattice
198 1 -0.09988737 -0.03364841 -0.00291321 0.10783931 Lattice
199 1 -0.10479654 -0.05129782 0.01437370 0.11765171 Lattice
200 1 -0.06721346 -0.06095557 0.02024047 0.11173162 Lattice
201 1 -0.10896011 -0.05096267 0.01797336 0.12172679 Lattice
202 1 -0.10207444 -0.04289776 0.02202283 0.11484665 Lattice
