# id type pc1 pc2 dist_to_ref defect_type
285 1 0.00356175 0.00595791 0.01016826 Lattice
286 1 -0.01858028 -0.03013718 0.03644561 Lattice
287 1 0.01702529 0.02353006 0.03048362 Lattice
288 1 0.01117198 0.01474500 0.02008736 Lattice
289 1 -0.01279409 -0.02152445 0.02570521 Lattice
290 1 0.00501174 0.00664902 0.00991290 Lattice
291 1 -0.01437098 -0.02228486 0.02698840 Lattice
292 1 -0.00030809 -0.00106240 0.00566628 Lattice
293 1 0.00526038 0.00531353 0.01067120 Lattice
294 1 0.00307729 0.00144203 0.01049071 Lattice
295 1 -0.02244638 -0.03642479 0.04388921 Lattice
296 1 -0.00690549 -0.01311193 0.01620266 Lattice
297 1 0.00512777 0.00386353 0.01777110 Lattice
298 1 -0.00620697 -0.01242970 0.01630508 Lattice
299 1 -0.01489890 -0.02455714 0.02965406 Lattice
300 1 -0.02450634 -0.03799956 0.04571057 Lattice
301 1 0.00513422 0.00563175 0.00996589 Lattice
302 1 0.02100592 0.03090531 0.04014986 Lattice
303 1 -0.00643539 -0.01033775 0.01339512 Lattice
304 1 -0.00023921 -0.00257679 0.00587735 Lattice
305 1 -0.00169513 -0.00313346 0.00729346 Lattice
306 1 0.01248255 0.01675393 0.02304311 Lattice
307 1 -0.00337568 -0.00851272 0.01277443 Lattice
308 1 0.01165191 0.01542174 0.02050159 Lattice
309 1 -0.00448278 -0.00933092 0.01161918 Lattice
310 1 -0.00312987 -0.00754739 0.01140566 Lattice
311 1 -0.00296000 -0.00630637 0.00984656 Lattice
312 1 -0.00163278 -0.00370557 0.00900954 Lattice
313 1 -0.00074779 -0.00363718 0.00727466 Lattice
314 1 0.00258677 0.00318776 0.00908859 Lattice
315 1 0.00517803 0.00601950 0.01060005 Lattice
316 1 0.02915121 0.04313613 0.05398135 Lattice
317 1 -0.00312815 -0.00654162 0.00949093 Lattice
318 1 -0.00176728 -0.00486960 0.00792752 Lattice
319 1 -0.00583129 -0.01069209 0.01337242 Lattice
320 1 -0.00570242 -0.01197875 0.01531783 Lattice
321 1 0.00253845 0.00067551 0.01186762 Lattice
322 1 -0.01206138 -0.01971591 0.02358287 Lattice
323 1 0.00194504 0.00155318 0.00518159 Lattice
324 1 -0.00071487 -0.00160397 0.00324520 Lattice
325 1 -0.00395849 -0.00790879 0.01152688 Lattice
326 1 0.01488255 0.02117076 0.02706806 Lattice
327 1 0.00174172 0.00233277 0.00815278 Lattice
328 1 0.01314820 0.01858402 0.02360797 Lattice
329 1 -0.01085998 -0.01730466 0.02086596 Lattice
330 1 0.00402370 0.00447801 0.00847495 Lattice
331 1 0.00380838 0.00402607 0.00724582 Lattice
332 1 0.00406268 0.00509591 0.00794613 Lattice
333 1 0.01416914 0.02114618 0.02639364 Lattice
334 1 0.01850373 0.02609873 0.03437106 Lattice
335 1 0.01521954 0.02276612 0.02855078 Lattice
336 1 0.01569965 0.02051415 0.02895984 Lattice
337 1 0.01310629 0.01961936 0.02394007 Lattice
