# x y z d_near_max n_grid_pts
26.71622464 22.22301687 39.70050088 2.28564507 4
29.71243674 1.74787773 25.21855716 2.28552975 6
10.73642672 9.73817593 -46.69178405 2.28393694 6
24.71874990 20.72483596 3.74533027 2.28163024 5
-1.74779040 1.74787773 -23.22104768 2.28118577 8
2.24715908 -3.74545228 28.71419875 2.28059854 7
-29.71243674 -15.73089958 -14.73163240 2.27879645 5
-6.74147724 -9.23878229 -39.20112351 2.27766127 10
25.21811858 0.24969682 -32.20984034 2.27555243 6
3.74526514 0.24969682 -16.22976451 2.27531730 3
6.24210856 4.74423956 70.16252042 2.27484823 8
-7.24084593 -61.17572059 67.66563357 2.27410475 5
-60.67329520 -9.73817593 -9.73785871 2.27391841 5
-26.21685595 -19.22665504 60.67435040 2.27377651 7
-10.73642672 -34.20846417 19.22602873 2.27294277 2
-7.74021461 47.69209238 -63.17123725 2.27289086 7
5.24337119 -57.18057149 33.70797244 2.27246913 5
-7.24084593 -46.69330511 -0.24968868 2.27243758 8
-44.69349729 8.73938866 -68.16501094 2.27229625 7
-18.72632568 16.72968686 30.21233086 2.27222384 7
-37.20296702 3.24605864 -30.21233086 2.27182415 6
0.24968434 3.74545228 -26.71668927 2.27064219 9
-9.73768935 51.68724148 39.20112351 2.27043780 6
9.73768935 -62.17450787 -21.72291557 2.26905154 5
-35.70486096 5.74302683 1.24844342 2.26904841 9
9.23832067 0.74909046 -50.18742564 2.26746336 9
-5.24337119 -11.23635684 -50.18742564 2.26567649 6
2.24715908 -1.74787773 34.20734981 2.26556315 5
2.74652777 69.66541243 -56.17995407 2.26467981 8
-9.23832067 47.69209238 -61.17372777 2.26237951 9
-12.23453278 -6.24242047 22.72167031 2.26174960 6
-22.72127516 -23.22180414 -39.20112351 2.26162819 4
2.24715908 26.71755961 -65.16874672 2.26161425 6
37.70233570 19.22665504 -35.70548192 2.26154786 3
-47.68970940 -18.22786777 -26.71668927 2.26018071 5
-15.73011357 -19.22665504 60.67435040 2.26011817 9
24.21938121 -1.74787773 23.22104768 2.25943076 7
14.73137620 16.23029322 -67.16625620 2.25849815 7
12.23453278 9.73817593 -23.22104768 2.25827181 10
-53.18276493 -0.74909046 67.66563357 2.25796604 3
-4.74400251 -7.24120774 10.23723608 2.25782620 6
1.74779040 -34.20846417 17.72789662 2.25722284 5
7.74021461 8.73938866 -63.67061462 2.25505539 5
-49.68718414 12.73453776 -19.22602873 2.25373091 5
-1.24842171 -18.72726141 -64.16999199 2.25323368 8
-2.74652777 69.66541243 -32.70921770 2.25273870 7
-13.73263883 17.22908049 21.22353821 2.25269725 5
1.74779040 -46.69330511 -12.73412292 2.25140142 8
9.73768935 54.68360331 28.71419875 2.25082796 6
64.16887600 -4.74423956 53.68306723 2.24931931 5
-12.23453278 -4.24484592 24.71917979 2.24901272 5
2.74652777 -16.23029322 22.72167031 2.24738910 6
15.23074489 -22.72241051 17.72789662 2.24717319 11
7.74021461 1.74787773 68.66438831 2.24668885 5
5.74273988 62.17450787 55.18119933 2.24640776 4
6.74147724 -24.71998506 -64.16999199 2.24628556 10
9.73768935 3.24605864 68.16501094 2.24585539 6
3.24589645 -48.19148602 41.19863299 2.24547730 7
-21.22316910 -15.73089958 65.66812409 2.24524557 6
-28.21433069 19.22665504 23.22104768 2.24374933 9
5.24337119 -30.21331507 46.19240668 2.24316609 4
9.73768935 7.24120774 3.24595290 2.24313780 4
2.24715908 -11.23635684 57.67808618 2.24223037 2
-27.71496201 -15.73089958 -40.69925562 2.24143376 7
-7.74021461 45.69451783 -61.17372777 2.24104890 3
-2.74652777 -18.22786777 37.70299140 2.23819412 9
64.16887600 0.74909046 -44.69427457 2.23787359 4
16.22948226 2.74666501 -37.70299140 2.23776845 7
-3.24589645 20.72483596 60.17497303 2.23760109 6
