# x y z d_near_max n_grid_pts
-10.48674238 -28.46543734 -38.95143482 2.15514226 1
-1.49810605 2.49696819 -22.97135900 2.15031795 1
0.49936868 51.43754466 -64.91905804 2.14910316 2
24.46906555 -22.47271369 44.94396326 2.14516728 3
-12.48421712 -4.49454274 24.96886848 2.14188174 1
15.48042923 -22.47271369 17.97758530 2.13942307 2
2.49684342 69.41571561 -55.93026539 2.13842221 1
-22.47159082 -8.48969184 -60.92403908 2.13823410 1
5.49305553 10.48726639 57.92777487 2.13803595 1
-31.46022714 -0.49939364 -67.91532226 2.13457932 1
17.47790397 -12.48484094 58.92652961 2.13387028 2
1.49810605 -34.45816099 17.97758530 2.13194918 1
1.49810605 26.46786279 -64.91905804 2.12679068 2
-8.48926764 -20.47513914 55.93026539 2.12645808 2
27.46527766 -19.47635186 44.94396326 2.12225825 1
10.48674238 0.49939364 -19.97509478 2.12205039 2
-29.46275240 -19.47635186 -49.93773695 2.12105583 2
-6.49179290 -9.48847911 -39.95018956 2.12102786 1
37.45265136 19.47635186 -35.95517061 2.11874771 1
-6.49179290 -12.48484094 20.97384952 2.11872504 1
-17.47790397 -17.47877731 -63.92030330 2.11511791 1
8.48926764 -23.47150096 -3.99501896 2.11505808 1
10.48674238 4.49454274 -33.95766113 2.11335918 2
24.46906555 -1.49818091 22.97135900 2.11075400 2
-12.48421712 -4.49454274 20.97384952 2.10853981 1
4.49431816 -12.48484094 -32.95890639 2.10850723 1
-57.42739875 -3.49575546 25.96762322 2.10811927 1
-16.47916660 9.48847911 38.95143482 2.10587058 1
-10.48674238 -32.46058644 20.97384952 2.10547103 1
-10.48674238 -30.46301189 58.92652961 2.10274960 1
-21.47285345 -15.48120276 65.91781278 2.10168793 1
6.49179290 21.47392641 -41.94769904 2.09973707 1
19.47537871 18.47756459 46.94147274 2.09873587 1
-16.47916660 4.49454274 18.97634004 2.09871577 2
3.49558079 -14.48241549 -58.92652961 2.09771403 1
5.49305553 -64.42177924 26.96637795 2.09746477 1
25.46780292 0.49939364 -31.96015165 2.09644786 1
-1.49810605 4.49454274 44.94396326 2.09631623 1
-9.48800501 -53.43511921 -51.93524643 2.09461842 1
-5.49305553 -18.47756459 -56.92902013 2.09179735 1
11.48547975 -19.47635186 67.91532226 2.08690487 1
5.49305553 -57.43026831 33.95766113 2.08627686 1
7.49053027 2.49696819 -17.97758530 2.08594714 2
2.49684342 -1.49818091 33.95766113 2.08581751 2
41.44760084 7.49090456 -47.94022748 2.08515979 1
-5.49305553 20.47513914 -18.97634004 2.08503358 1
27.46527766 -19.47635186 4.99377370 2.08484062 1
8.48926764 21.47392641 -32.95890639 2.08335920 1
17.47790397 -10.48726639 42.94645378 2.08301598 2
-15.48042923 -18.47756459 60.92403908 2.08068990 2
16.47916660 2.49696819 -37.95268008 2.07915709 1
-37.45265136 8.48969184 38.95143482 2.07907587 1
5.49305553 33.45937371 -53.93275591 2.07797065 1
27.46527766 -14.48241549 56.92902013 2.07683256 1
28.46401503 19.47635186 -12.98381161 2.07682567 2
-35.45517662 -1.49818091 -40.94894430 2.07635545 2
12.48421712 9.48847911 -22.97135900 2.07469910 1
