# x y z d_near_max n_grid_pts
-4.74400251 -7.24120774 10.23723608 2.25782620 3
1.74779040 -34.20846417 17.72789662 2.25722284 1
7.74021461 8.73938866 -63.67061462 2.25505539 1
-49.68718414 12.73453776 -19.22602873 2.25373091 3
-1.24842171 -18.72726141 -64.16999199 2.25323368 1
-2.74652777 69.66541243 -32.70921770 2.25273870 1
-13.73263883 17.22908049 21.22353821 2.25269725 1
1.74779040 -46.69330511 -12.73412292 2.25140142 3
9.73768935 54.68360331 28.71419875 2.25082796 1
64.16887600 -4.74423956 53.68306723 2.24931931 3
-12.23453278 -4.24484592 24.71917979 2.24901272 1
2.74652777 -16.23029322 22.72167031 2.24738910 3
15.23074489 -22.72241051 17.72789662 2.24717319 2
5.74273988 62.17450787 55.18119933 2.24640776 2
6.74147724 -24.71998506 -64.16999199 2.24628556 4
9.73768935 3.24605864 68.16501094 2.24585539 1
3.24589645 -48.19148602 41.19863299 2.24547730 2
7.74021461 1.24848409 68.16501094 2.24541717 1
-21.22316910 -15.73089958 65.66812409 2.24524557 2
-28.21433069 19.22665504 23.22104768 2.24374933 1
5.24337119 -30.21331507 46.19240668 2.24316609 3
9.73768935 7.24120774 3.24595290 2.24313780 2
2.24715908 -11.23635684 57.67808618 2.24223037 1
-27.71496201 -15.73089958 -40.69925562 2.24143376 2
-7.74021461 45.69451783 -61.17372777 2.24104890 1
-2.74652777 -18.22786777 37.70299140 2.23819412 3
64.16887600 0.74909046 -44.69427457 2.23787359 1
16.22948226 2.74666501 -37.70299140 2.23776845 1
-3.24589645 20.72483596 60.17497303 2.23760109 3
-9.73768935 -29.71392143 59.17621829 2.23698771 3
-19.22569436 -4.74423956 32.20984034 2.23694745 2
-6.74147724 -1.74787773 -3.74533027 2.23531303 1
48.18907808 10.73696321 -8.73910397 2.23517086 1
-10.23705804 20.72483596 63.67061462 2.23505774 1
24.71874990 -7.24120774 -71.16127516 2.23467553 1
57.67708309 9.73817593 -1.74782079 2.23381766 1
-67.66445679 -0.24969682 -71.16127516 2.23088477 2
35.20549228 -12.73453776 -58.67684092 2.23056531 1
7.24084593 2.24727137 -17.72789662 2.23011839 1
61.67203257 -4.24484592 16.22976451 2.22967837 2
9.23832067 2.24727137 -19.72540610 2.22928267 1
33.20801754 1.74787773 28.71419875 2.22883241 1
4.24463382 4.74423956 65.16874672 2.22818071 1
27.71496201 -19.22665504 5.24346238 2.22620294 2
8.73895198 -23.22180414 -3.74533027 2.22616301 1
-62.17140126 -6.24242047 -11.23599081 2.22513911 2
-19.72506305 45.69451783 -66.16750146 2.22342500 1
-9.23832067 -54.18420967 -52.18493512 2.22334269 2
-64.16887600 -14.73211231 35.70548192 2.22293108 1
-7.24084593 -61.17572059 71.16127516 2.22241750 2
6.24210856 42.69815601 -65.16874672 2.22218318 2
6.24210856 73.16116789 -56.17995407 2.22208640 1
-26.21685595 24.22059142 15.73038714 2.22142058 2
58.67582046 -8.23999502 69.66314305 2.22100866 2
2.74652777 -14.73211231 -3.74533027 2.22092247 2
7.74021461 -5.24363319 -28.71419875 2.21993817 1
-13.73263883 -13.73332503 32.20984034 2.21843183 3
-42.19665386 1.24848409 15.23100977 2.21821408 1
-16.72885094 9.23878229 39.20112351 2.21769062 1
5.74273988 -1.74787773 -16.22976451 2.21542193 1
-16.72885094 45.69451783 -66.16750146 2.21479190 2
5.74273988 4.24484592 70.16252042 2.21443947 2
36.70359833 -5.74302683 32.20984034 2.21374050 1
11.73516409 -18.22786777 66.66687883 2.21306955 2
-6.74147724 11.73575048 65.16874672 2.21297665 2
-15.73011357 -4.24484592 32.20984034 2.21235394 1
13.73263883 -17.72847413 -0.24968868 2.21234356 1
0.74905303 80.15267882 -57.67808618 2.21192262 1
8.23958330 -21.22422959 -1.74782079 2.21141364 1
-1.74779040 -3.74545228 28.71419875 2.21023627 1
66.16635073 4.74423956 -26.71668927 2.21023600 1
4.24463382 71.66298698 -56.17995407 2.20984906 1
54.68087098 -7.74060138 30.71170823 2.20921753 1
-10.23705804 -30.21331507 -37.20361403 2.20896006 1
-6.74147724 -13.23393139 21.22353821 2.20883902 1
-35.20549228 -10.73696321 -11.23599081 2.20846418 1
-5.24337119 11.73575048 56.17995407 2.20830055 1
-6.24210856 59.17814604 35.70548192 2.20767913 1
-12.23453278 -9.73817593 55.68057670 2.20716240 1
-13.73263883 19.22665504 -62.67185988 2.20706089 1
15.23074489 -3.74545228 -69.66314305 2.20691165 1
11.73516409 47.69209238 -19.22602873 2.20667580 1
-37.20296702 10.73696321 22.72167031 2.20553353 1
-9.23832067 29.71392143 56.67933144 2.20494128 2
-7.24084593 29.71392143 54.68182196 2.20484490 1
19.22569436 -32.21088962 55.18119933 2.20323679 1
11.73516409 49.68966693 54.18244459 2.20279630 1
10.23705804 -64.67147606 63.67061462 2.20159079 1
3.74526514 -2.74666501 -66.66687883 2.20118942 2
4.74400251 23.22180414 21.22353821 2.19963864 1
-26.21685595 -22.72241051 39.20112351 2.19919320 1
-30.71117411 11.23635684 1.24844342 2.19795281 1
6.24210856 -15.73089958 51.68555775 2.19772432 1
-2.24715908 5.24363319 -5.24346238 2.19740066 1
-18.72632568 11.73575048 -17.72789662 2.19719941 1
-14.23200752 -2.24727137 -25.21855716 2.19653772 1
27.21559332 1.74787773 -21.72291557 2.19567660 1
24.21938121 -1.74787773 -69.66314305 2.19419374 1
15.23074489 -20.72483596 16.22976451 2.19185546 1
