# id type x y z dist_to_ref defect_prob defect_type
183 1 33.56500000 10.47060000 1.72415000 0.01300329 1.00000000 Lattice
184 1 31.73290000 12.36750000 1.71276000 0.01469062 1.00000000 Lattice
185 1 35.45190000 10.64330000 0.00751444 0.00784424 1.00000000 Lattice
186 1 37.13760000 12.25380000 0.13264400 0.03467082 1.00000000 Lattice
187 1 37.21080000 10.58400000 1.77576000 0.03443601 1.00000000 Lattice
188 1 35.37880000 12.38690000 1.78602000 0.02926396 1.00000000 Lattice
189 1 38.85880000 10.56800000 42.29970000 0.02292634 1.00000000 Lattice
190 1 40.50710000 12.27290000 0.01066810 0.01777516 1.00000000 Lattice
191 1 40.63820000 10.42750000 1.69602000 0.04083682 1.00000000 Lattice
192 1 38.90800000 12.34440000 1.73683000 0.03246978 1.00000000 Lattice
193 1 42.35350000 14.06600000 42.33190000 0.01900587 1.00000000 Lattice
194 1 1.65397000 15.92890000 42.24350000 0.00922883 1.00000000 Lattice
195 1 1.70315000 14.10500000 1.65088000 0.01396333 1.00000000 Lattice
196 1 0.06490800 15.90670000 1.67894000 0.00803416 1.00000000 Lattice
197 1 3.50188000 14.22200000 42.35030000 0.01554318 1.00000000 Lattice
198 1 5.26836000 15.84110000 42.32950000 0.02556417 1.00000000 Lattice
199 1 5.34958000 14.07160000 1.66182000 0.01428936 1.00000000 Lattice
200 1 3.55928000 15.82690000 1.74492000 0.00415341 1.00000000 Lattice
201 1 7.09910000 14.13160000 -0.00880896 0.01942355 1.00000000 Lattice
202 1 8.88432000 15.77920000 42.39450000 0.01282827 1.00000000 Lattice
203 1 8.76277000 14.07670000 1.78209000 0.00508360 1.00000000 Lattice
204 1 7.04711000 15.89260000 1.76296000 0.01425282 1.00000000 Lattice
205 1 10.66490000 14.05610000 -0.00679725 0.00912860 1.00000000 Lattice
206 1 12.39610000 15.85220000 0.00612432 0.02882879 1.00000000 Lattice
207 1 12.37330000 14.10900000 1.72474000 0.00749369 1.00000000 Lattice
208 1 10.55600000 15.80310000 1.71538000 0.01458517 1.00000000 Lattice
209 1 14.17510000 14.06490000 0.09580970 0.01258326 1.00000000 Lattice
210 1 16.03950000 15.96690000 42.30060000 0.01352750 1.00000000 Lattice
211 1 15.96970000 14.11090000 1.78706000 0.00706599 1.00000000 Lattice
212 1 14.25360000 15.80260000 1.65444000 0.01523447 1.00000000 Lattice
213 1 17.63700000 14.11820000 42.25220000 0.02263151 1.00000000 Lattice
214 1 19.52570000 15.78670000 42.37840000 0.04734432 1.00000000 Lattice
215 1 19.39080000 14.05660000 1.69550000 0.03871652 1.00000000 Lattice
216 1 17.65420000 15.85300000 1.69531000 0.00383955 1.00000000 Lattice
217 1 21.24070000 14.00160000 42.26910000 0.01554557 1.00000000 Lattice
218 1 23.00390000 15.84460000 42.21520000 0.01463261 1.00000000 Lattice
219 1 23.03080000 14.03850000 1.56413000 0.00749281 1.00000000 Lattice
220 1 21.37260000 15.79990000 1.62747000 0.03215169 1.00000000 Lattice
221 1 24.84120000 14.09960000 -0.01214710 0.01894335 1.00000000 Lattice
222 1 26.50770000 15.96300000 42.35870000 0.01881977 1.00000000 Lattice
223 1 26.54850000 14.02650000 1.63775000 0.01752453 1.00000000 Lattice
224 1 24.78470000 15.87770000 1.69873000 0.01040215 1.00000000 Lattice
225 1 28.27480000 14.20210000 42.38420000 0.00802925 1.00000000 Lattice
226 1 30.07120000 15.99630000 0.05419430 0.00844790 1.00000000 Lattice
227 1 29.96620000 14.17520000 1.72890000 0.00359345 1.00000000 Lattice
228 1 28.36860000 16.07770000 1.69451000 0.01720594 1.00000000 Lattice
229 1 31.91120000 14.19300000 0.02575850 0.01208860 1.00000000 Lattice
230 1 33.65130000 15.91420000 -0.04184540 0.03871902 1.00000000 Lattice
231 1 33.65720000 14.21250000 1.70190000 0.01154567 1.00000000 Lattice
232 1 31.85170000 15.90100000 1.70914000 0.01964454 1.00000000 Lattice
233 1 35.31620000 14.24090000 42.38030000 0.00907320 1.00000000 Lattice
234 1 37.13630000 16.01730000 42.35060000 0.02924875 1.00000000 Lattice
235 1 37.22170000 14.11290000 1.65199000 0.01701498 1.00000000 Lattice
236 1 35.43830000 15.91930000 1.75326000 0.00698689 1.00000000 Lattice
237 1 38.81940000 14.04470000 42.37790000 0.02739574 1.00000000 Lattice
238 1 40.70550000 16.00600000 42.37200000 0.03691687 1.00000000 Lattice
239 1 40.60380000 14.16720000 1.65650000 0.01201600 1.00000000 Lattice
240 1 38.89280000 15.95320000 1.67617000 0.02011891 1.00000000 Lattice
241 1 0.07124260 17.74870000 0.04436020 0.00870664 1.00000000 Lattice
242 1 1.87409000 19.45570000 -0.01137950 0.01423716 1.00000000 Lattice
243 1 1.81818000 17.58930000 1.79806000 0.03106449 1.00000000 Lattice
244 1 42.37840000 19.48340000 1.68464000 0.01325945 1.00000000 Lattice
245 1 3.43738000 17.61930000 42.39080000 0.01409196 1.00000000 Lattice
